H,S,V,R,G,B,bias,label
65.0,128.0,100.0,43.0,126.0,128.0,1.0,1.0
64.0,132.0,109.0,40.0,131.0,132.0,1.0,1.0
77.0,121.0,130.0,25.0,104.0,130.0,1.0,1.0
62.0,129.0,103.0,42.0,132.0,129.0,1.0,1.0
61.0,122.0,103.0,40.0,126.0,122.0,1.0,1.0
64.0,131.0,107.5,41.0,129.0,131.0,1.0,1.0
64.0,129.0,106.0,40.0,128.0,129.0,1.0,1.0
74.0,124.0,126.0,28.0,106.0,127.0,1.0,1.0
59.0,125.0,101.0,41.0,133.5,125.0,1.0,1.0
73.0,130.0,115.0,37.0,112.0,131.0,1.0,1.0
73.0,122.0,123.0,29.0,106.0,124.0,1.0,1.0
63.0,127.0,106.0,40.0,130.0,127.0,1.0,1.0
68.0,125.0,108.0,40.0,116.0,125.0,1.0,1.0
60.0,123.0,99.0,41.0,130.0,123.0,1.0,1.0
60.0,117.0,100.0,37.0,123.0,117.0,1.0,1.0
60.0,122.0,100.0,40.0,129.0,122.0,1.0,1.0
61.0,119.0,92.0,44.0,124.0,119.0,1.0,1.0
64.0,133.0,114.0,38.0,131.0,133.0,1.0,1.0
60.0,117.0,93.0,42.0,124.0,117.0,1.0,1.0
78.0,134.0,120.0,37.0,107.0,134.0,1.0,1.0
69.0,134.0,114.0,39.0,126.0,134.0,1.0,1.0
59.0,120.0,94.0,43.0,130.0,120.0,1.0,1.0
60.0,114.0,100.0,40.0,120.0,115.0,1.0,1.0
76.0,128.0,124.0,33.0,103.0,129.0,1.0,1.0
71.0,123.0,120.5,35.0,113.0,129.0,1.0,1.0
64.0,129.0,102.0,43.0,129.0,129.0,1.0,1.0
66.0,127.0,108.0,38.0,119.0,127.0,1.0,1.0
65.0,130.0,108.0,40.0,128.0,130.0,1.0,1.0
67.0,125.5,111.0,37.0,119.0,125.5,1.0,1.0
64.0,122.0,99.0,42.0,121.0,122.0,1.0,1.0
71.0,128.0,105.0,42.0,114.0,128.0,1.0,1.0
72.0,129.0,111.0,39.0,111.0,129.0,1.0,1.0
57.0,116.0,92.0,42.0,128.0,116.0,1.0,1.0
60.0,122.0,93.0,44.0,129.0,122.0,1.0,1.0
69.0,133.0,114.0,39.0,122.0,133.0,1.0,1.0
89.0,133.0,155.0,20.0,108.0,155.0,1.0,1.0
70.0,128.0,114.0,37.0,116.0,128.0,1.0,1.0
73.0,128.0,117.0,36.0,107.0,129.0,1.0,1.0
67.0,128.0,102.0,43.0,122.0,128.0,1.0,1.0
64.0,121.0,104.0,39.0,120.0,121.0,1.0,1.0
76.0,122.0,136.0,23.0,112.0,136.0,1.0,1.0
59.0,116.0,89.0,44.0,126.0,116.0,1.0,1.0
57.0,114.0,91.0,42.0,126.0,114.0,1.0,1.0
64.5,134.0,113.0,39.0,133.0,134.0,1.0,1.0
81.0,127.0,144.0,22.0,112.0,144.0,1.0,1.0
72.0,130.0,113.0,39.0,114.0,130.0,1.0,1.0
76.0,131.0,124.0,34.0,108.0,131.0,1.0,1.0
78.0,134.0,123.0,36.0,107.0,134.0,1.0,1.0
74.0,130.0,117.0,37.0,108.0,130.0,1.0,1.0
60.0,118.0,91.0,44.0,125.0,118.0,1.0,1.0
